ticks,xH,yH,zH,xL,yL,zL,magni,temp
30743308,1882,1884,1880,-546,468,10062,443,339
30743382,1875,1883,1891,-390,624,10218,441,443
30743388,1888,1893,1892,-390,702,10062,445,352
30743393,1872,1889,1878,-312,468,10062,438,308
30743398,1885,1886,1881,-546,624,10140,443,298
30743404,1872,1893,1877,-468,702,10140,443,304
30743408,1882,1888,1884,-390,468,9984,437,294
30743413,1887,1886,1890,-468,546,9984,439,291
30743418,1872,1887,1872,-468,546,9984,438,291
30743423,1883,1891,1881,-546,390,9984,442,292
30743433,1889,1887,1883,-546,546,10140,439,323
30743438,1894,1878,1879,-390,468,9984,438,300
30743443,1879,1885,1884,-468,624,10062,438,299
30743448,1882,1887,1883,-390,624,10062,438,288
30743453,1879,1878,1883,-624,624,10062,443,276
30743459,1885,1876,1872,-624,546,10140,439,290
30743463,1872,1879,1883,-468,624,9984,440,283
30743468,1873,1885,1879,-546,624,10062,441,282
30743473,1883,1889,1889,-624,702,9984,441,288
30743478,1877,1883,1887,-312,624,9984,441,277
30743488,1883,1892,1878,-390,390,9984,441,332
30743493,1883,1877,1882,-468,546,10218,444,305
30743498,1882,1884,1874,-624,702,10140,443,293
30743503,1882,1890,1872,-312,546,9906,441,295
30743508,1887,1888,1891,-390,702,9984,439,289
30743514,1877,1872,1887,-546,546,9984,434,311
30743518,1881,1890,1885,-468,624,10140,441,289
30743523,1876,1883,1875,-390,468,10218,443,290
30743528,1875,1885,1890,-390,468,9984,443,294
30743533,1877,1877,1883,-390,624,9984,439,291
30743542,1877,1882,1883,-468,702,10140,436,321
30743548,1887,1882,1881,-546,624,9984,442,311
30743553,1879,1893,1884,-468,468,10062,442,307
30743558,1884,1886,1883,-468,702,9984,443,310
30743563,1883,1887,1891,-546,624,9984,442,302
30743569,1883,1898,1887,-312,546,10218,439,311
30743573,1882,1891,1872,-546,624,10140,441,299
30743578,1888,1889,1875,-390,624,10062,442,304
30743583,1882,1894,1878,-390,390,9984,444,303
30743588,1889,1895,1877,-312,624,9984,437,301
30743597,1872,1886,1881,-312,546,9906,445,333
30743603,1882,1888,1886,-624,546,10062,443,318
30743608,1886,1889,1877,-546,624,9984,445,291
30743613,1877,1878,1885,-468,624,9984,442,288
30743618,1881,1880,1883,-468,546,9984,438,291
30743624,1877,1889,1884,-546,702,10062,442,307
30743628,1882,1873,1874,-702,468,10140,445,290
30743633,1872,1885,1887,-624,546,10062,444,294
30743638,1883,1885,1881,-312,468,10062,439,299
30743643,1879,1883,1883,-468,624,9984,444,289
30743653,1885,1883,1875,-390,468,10140,441,321
30743658,1887,1881,1881,-624,546,10140,439,290
30743663,1887,1874,1883,-624,546,9984,445,298
30743668,1883,1881,1889,-546,702,9906,443,282
30743673,1883,1876,1875,-546,702,10140,445,282
30743679,1884,1877,1811,-468,468,9984,441,298
30743683,1879,1892,1893,-468,624,9984,443,289
30743688,1882,1881,1881,-546,546,9984,447,301
30743693,1874,1885,1879,-624,468,10062,445,292
30743698,1872,1883,1879,-546,546,10062,448,300
30743708,1878,1883,1877,-468,624,10218,439,334
30743713,1887,1877,1883,-624,624,10062,439,304
30743718,1885,1878,1872,-702,624,10140,443,298
30743723,1882,1887,1886,-390,468,10062,435,292
30743728,1898,1882,1889,-624,546,9906,445,288
